time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/std,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_range,train/n_updates
64,2078,133120,65,980.3,980.35,-0.3024658501148224,0.006265596,0.064501953125,-0.008108547888696194,0.0003,0.3217621445655823,-0.0012905107549158856,-12.979266166687012,4.2706980195816865e-06,0.2,640
65,2077,135168,66,983.49,983.53,-0.26751165091991425,0.007996233,0.070458984375,-0.021835606545209885,0.0003,0.3119772672653198,-0.0018114654434612022,-24.873689651489258,8.640454380213214e-05,0.2,650
66,2058,137216,67,983.49,983.53,-0.23624543882906437,0.0034959463,0.0583984375,-0.011598818004131317,0.0003,0.3024299740791321,-0.0014905046118656173,-7.979616165161133,1.638900499756346e-07,0.2,660
68,2027,139264,68,990.18,990.21,-0.19965328723192216,0.0050646644,0.056787109375,0.0038467547856271267,0.0003,0.2906491756439209,-0.0006135913179605268,-25.598539352416992,1.441163846038762e-07,0.2,670
71,1987,141312,69,990.18,990.21,-0.17162902057170867,0.008431849,0.11220703125,-0.03529063239693642,0.0003,0.28387778997421265,-0.0019992316883872263,-29.617151260375977,2.7297239455492674e-07,0.2,680
71,1991,143360,70,990.18,990.21,-0.14456529840826987,0.0043739444,0.052783203125,0.0008438929216936231,0.0003,0.2748385965824127,0.000476053383317776,-19.51908302307129,3.542286634683478e-07,0.2,690
72,1994,145408,71,992.79,992.81,-0.11436122469604015,0.0034339929,0.072314453125,0.008656764402985573,0.0003,0.268393874168396,0.0016242330690147354,-28.51069450378418,1.4294011151605447e-06,0.2,700
73,1998,147456,72,1000.0,1000.0,-0.09200743921101093,0.005038119,0.049658203125,0.013761698268353939,0.0003,0.26268792152404785,0.004340623355528805,-7.656110763549805,1.2497305499437062e-05,0.2,710
74,2001,149504,73,1000.0,1000.0,-0.06342375613749027,0.0080644395,0.065234375,0.0007425103103742003,0.0003,0.2541508972644806,-0.002185718549299054,-12.297636032104492,5.7710392439958014e-05,0.2,720
75,2004,151552,74,1000.0,1000.0,-0.028729069605469705,0.00460403,0.04990234375,0.0006295708008110523,0.0003,0.24457797408103943,-0.0003897807648172602,-10.987542152404785,6.890146508453654e-06,0.2,730
76,2007,153600,75,1000.0,1000.0,0.012984605878591538,0.0049765706,0.0462890625,-0.01617559604346752,0.0003,0.23387302458286285,0.0010914695682004093,-18.083965301513672,1.930782741510484e-06,0.2,740
77,2010,155648,76,1000.0,1000.0,0.049182170256972316,0.0029818686,0.077197265625,0.010200276039540768,0.0003,0.227144256234169,0.000719234307325678,-14.253716468811035,0.00013838376354442518,0.2,750
78,2013,157696,77,1000.0,1000.0,0.07889753356575965,0.0064248284,0.065771484375,-0.014631446450948715,0.0003,0.2206907421350479,0.0022003507561748846,-4.970775127410889,1.7925408144492394e-07,0.2,760
79,2016,159744,78,1000.0,1000.0,0.10623507872223854,0.004722732,0.09462890625,-0.014100209809839725,0.0003,0.2147374302148819,-0.00039417441003024577,-3.1499195098876953,1.5590854616220894e-07,0.2,770
80,2019,161792,79,1000.0,1000.0,0.12786853834986686,0.0044139433,0.062890625,-0.013784944079816341,0.0003,0.2113555669784546,0.003771152123226784,-4.8790507316589355,4.2814594962692355e-07,0.2,780
81,2022,163840,80,1000.0,1000.0,0.15076231211423874,0.007395774,0.0701171875,-0.012597212567925453,0.0003,0.20531818270683289,0.0030796846898738296,-5.882997989654541,8.088957429208677e-07,0.2,790
81,2025,165888,81,1000.0,1000.0,0.18207026571035384,0.004457106,0.063330078125,0.016066281124949455,0.0003,0.19871193170547485,0.0010385422821855173,-3.6858925819396973,1.724777219749285e-05,0.2,800
82,2028,167936,82,1000.0,1000.0,0.2168114498257637,0.00672689,0.088916015625,0.0363272987306118,0.0003,0.19179287552833557,0.0005068897487944923,-15.887218475341797,1.0980895837064963e-06,0.2,810
83,2031,169984,83,1000.0,1000.0,0.24670145101845264,0.008141266,0.08271484375,-0.0022064161021262407,0.0003,0.18716582655906677,0.0008926908645662479,-22.231685638427734,0.00023500874555963945,0.2,820
84,2033,172032,84,1000.0,1000.0,0.2705050215125084,0.0073118173,0.07568359375,0.013352076523005962,0.0003,0.18266749382019043,0.003087658280492178,-8.690991401672363,9.993622711590433e-08,0.2,830
85,2036,174080,85,1000.0,1000.0,0.3036545693874359,0.0033902884,0.075146484375,-0.0013377920258790255,0.0003,0.17564910650253296,0.0005626760328595992,-11.684633255004883,2.4821650470130406e-06,0.2,840
86,2038,176128,86,1000.0,1000.0,0.33768421933054926,0.0058417837,0.063623046875,-0.004509645979851484,0.0003,0.17068591713905334,0.0006218326903763227,-14.12061882019043,4.096416716947715e-08,0.2,850
87,2040,178176,87,1000.0,1000.0,0.37035212442278864,0.0060392385,0.087451171875,-0.006200353614985943,0.0003,0.16406333446502686,0.0013020335987675934,-12.144213676452637,6.550193120347103e-07,0.2,860
88,2043,180224,88,1000.0,1000.0,0.40770790688693526,0.0123333335,0.075341796875,0.0035172859206795692,0.0003,0.1581035703420639,0.002824889083422022,-12.980520248413086,2.1630014884976846e-06,0.2,870
89,2044,182272,89,1000.0,1000.0,0.43742626421153546,0.0033946813,0.08486328125,-0.039107903838157654,0.0003,0.15472163259983063,0.003189432920771651,-40.98572540283203,2.3165334283703485e-06,0.2,880
90,2042,184320,90,1000.0,1000.0,0.4609289955347776,0.0052017043,0.094921875,-0.009533341974020004,0.0003,0.15118488669395447,0.0036638737728935666,-10.303915023803711,1.2705257574907591e-06,0.2,890
91,2044,186368,91,1000.0,1000.0,0.4828224156051874,0.009775448,0.08515625,0.026694031432271004,0.0003,0.1478562206029892,0.0019970360008301213,-8.644031524658203,7.067274054861628e-08,0.2,900
92,2045,188416,92,1000.0,1000.0,0.5169380519539117,0.0064747944,0.090966796875,-0.009557798504829407,0.0003,0.14158999919891357,-0.00010712734365370125,-11.099186897277832,3.4853343663598936e-06,0.2,910
93,2047,190464,93,1000.0,1000.0,0.5487134549766779,0.005747561,0.103564453125,0.034181006252765656,0.0003,0.13816092908382416,0.0024329373423825017,-45.24959182739258,6.328279454237418e-06,0.2,920
94,2037,192512,94,1000.0,1000.0,0.5783420037478209,0.00520251,0.097216796875,0.017721274867653847,0.0003,0.1338660567998886,0.0019524606039340142,-11.238627433776855,0.0008180969570076968,0.2,930
95,2031,194560,95,1000.0,1000.0,0.6080223768949509,0.009305963,0.101611328125,-0.010936759412288666,0.0003,0.1293291449546814,0.004213626828277484,-13.250472068786621,2.1032184349678572e-08,0.2,940
96,2029,196608,96,1000.0,1000.0,0.6523513093590736,0.0055901874,0.079541015625,-0.009643420577049255,0.0003,0.12389855831861496,0.0013963261255412363,-17.929821014404297,3.6652215840149437e-08,0.2,950
97,2031,198656,97,1000.0,1000.0,0.6833281420171261,0.0038196992,0.0943359375,0.02770610898733139,0.0003,0.12066040933132172,0.003991579303692561,-19.23383331298828,3.467103795173898e-08,0.2,960
98,2027,200704,98,1000.0,1000.0,0.7140399686992168,0.009906104,0.1037109375,0.03988557308912277,0.0003,0.11684462428092957,0.0015135806243051775,-43.09477615356445,4.864041329710744e-08,0.2,970
